      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.35750E+01   2.79645E-04   1.21413E-08   1.05347E-11   1.86301E-17   4.34169E-05
 1.36250E+01   1.94510E-04   8.40178E-09   6.91397E-12   1.22382E-17   4.31947E-05
 1.36750E+01   1.34761E-04   5.79684E-09   4.52452E-12   8.01614E-18   4.30158E-05
 1.37250E+01   9.31016E-05   3.98772E-09   2.95229E-12   5.23544E-18   4.28320E-05
 1.37750E+01   6.42111E-05   2.73509E-09   1.92082E-12   3.40944E-18   4.25953E-05
 1.38250E+01   4.42596E-05   1.87039E-09   1.24611E-12   2.21388E-18   4.22596E-05
 1.38750E+01   3.05214E-05   1.27528E-09   8.06066E-13   1.43341E-18   4.17832E-05
 1.39250E+01   2.10775E-05   8.66949E-10   5.19906E-13   9.25394E-19   4.11315E-05
 1.39750E+01   1.45881E-05   5.87615E-10   3.34366E-13   5.95699E-19   4.02804E-05
 1.40250E+01   1.01256E-05   3.97105E-10   2.14419E-13   3.82357E-19   3.92178E-05
 1.40750E+01   7.05140E-06   2.67566E-10   1.37103E-13   2.44712E-19   3.79450E-05
 1.41250E+01   4.92787E-06   1.79749E-10   8.74123E-14   1.56165E-19   3.64761E-05
 1.41750E+01   3.45610E-06   1.20397E-10   5.55702E-14   9.93705E-20   3.48362E-05
 1.42250E+01   2.43216E-06   8.04039E-11   3.52253E-14   6.30484E-20   3.30586E-05
 1.42750E+01   1.71693E-06   5.35365E-11   2.22644E-14   3.98873E-20   3.11815E-05
 1.43250E+01   1.21532E-06   3.55413E-11   1.40318E-14   2.51616E-20   2.92444E-05
 1.43750E+01   8.62192E-07   2.35250E-11   8.81772E-15   1.58266E-20   2.72850E-05
 1.44250E+01   6.12732E-07   1.55251E-11   5.52515E-15   9.92610E-21   2.53375E-05
 1.44750E+01   4.35979E-07   1.02153E-11   3.45205E-15   6.20748E-21   2.34308E-05
 1.45250E+01   3.10435E-07   6.70163E-12   2.15057E-15   3.87076E-21   2.15878E-05
 1.45750E+01   2.21096E-07   4.38348E-12   1.33590E-15   2.40670E-21   1.98262E-05
 1.46250E+01   1.57436E-07   2.85870E-12   8.27446E-16   1.49208E-21   1.81578E-05
 1.46750E+01   1.12041E-07   1.85878E-12   5.11034E-16   9.22372E-22   1.65902E-05
 1.47250E+01   7.96600E-08   1.20503E-12   3.14706E-16   5.68546E-22   1.51271E-05
 1.47750E+01   5.65679E-08   7.78888E-13   1.93243E-16   3.49438E-22   1.37691E-05
 1.48250E+01   4.01098E-08   5.01954E-13   1.18318E-16   2.14151E-22   1.25145E-05
 1.48750E+01   2.83912E-08   3.22524E-13   7.22336E-17   1.30862E-22   1.13600E-05
